SKU,post_title,post_content,post_excerpt,category1,category2,variations,pa_talla,regular_price,sale_price,image_1,image_2,image_3,image_4
1,Camisa Wave,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Ropa,Camisas,Talla,SM|ME,179,134.25,http://localhost/dunkelvolk/wp-content/uploads/2017/02/camisa-wave01.jpg,http://localhost/dunkelvolk/wp-content/uploads/2017/02/camisa-wave02.jpg,http://localhost/dunkelvolk/wp-content/uploads/2017/02/camisa-wave04.jpg,http://localhost/dunkelvolk/wp-content/uploads/2017/02/camisa-wave06.jpg
2,Camisa Kraut Negro,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Ropa,Camisas,Talla,SM|ME,139,69.5,http://localhost/dunkelvolk/wp-content/uploads/2017/02/camisa-kraut-negro01.jpg,http://localhost/dunkelvolk/wp-content/uploads/2017/02/camisa-kraut-negro02.jpg,http://localhost/dunkelvolk/wp-content/uploads/2017/02/camisa-kraut-negro03.jpg,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
