SKU,post_title,post_content,post_excerpt,category1,category2,variations,pa_talla,regular_price,sale_price,image_1,image_2,image_3,image_4
1,Camisa Wave,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Ropa,Camisas,Talla,SM|ME,179,134.25,camisa-wave01.jpg,camisa-wave02.jpg,camisa-wave04.jpg,camisa-wave03.jpg
2,Camisa Kraut Negro,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Ropa,Camisas,Talla,SM|ME,139,69.5,camisa-kraut-negro01.jpg,camisa-kraut-negro02.jpg,camisa-kraut-negro03.jpg,
3,Camisa Shark,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Ropa,Camisas,Talla,SM|ME|LA|XL,149,111.75,camisa-shark01.jpg,camisa-shark02.jpg,camisa-shark03.jpg,camisa-shark04.jpg
4,Poleron Cartel,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Ropa,Hoodies,Talla,ME,169,126.75,poleron-cartel01.jpg,poleron-cartel02.jpg,poleron-cartel03.jpg,poleron-cartel04.jpg
5,Poleron Roony,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Ropa,Hoodies,Talla,SM|ME|XL,199,149.25,poleron-roony01.jpg,poleron-roony02.jpg,poleron-roony03.jpg,poleron-roony04.jpg
6,Billetera Hecarim,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Accesorios,Billeteras,,,79.9,59.93,billetera-hecarim01.jpg,billetera-hecarim02.jpg,billetera-hecarim03.jpg,billetera-hecarim04.jpg
7,Billetera Wild Azul,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Accesorios,Billeteras,,,59.9,44.9,billetera-wildazul01.jpg,billetera-wildazul02.jpg,billetera-wildazul03.jpg,billetera-wildazul04.jpg
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
